"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","PPV","TP","FP","Total_ASVs","Unique_taxa","Taxa with no species before filtering","Taxa_with_no_species_after_filtering"
150,300,0.05,37,2,87.6712328767123,64,9,73,33,36,0
150,300,0.1,37,4,88.135593220339,52,7,59,28,36,0
150,300,0.15,37,6,88.6792452830189,47,6,53,25,36,0
150,300,0.2,37,8,89.7959183673469,44,5,49,23,36,0
150,350,0.001,37,1,80.6451612903226,75,18,93,36,36,0
150,350,0.005,37,1,80.6451612903226,75,18,93,36,36,0
150,350,0.01,37,1,80.6451612903226,75,18,93,36,36,0
150,350,0.05,37,2,87.6712328767123,64,9,73,33,36,0
150,350,0.1,37,4,88.135593220339,52,7,59,28,36,0
150,350,0.15,37,6,88.6792452830189,47,6,53,25,36,0
150,350,0.2,37,8,89.7959183673469,44,5,49,23,36,0
150,400,0.001,37,1,80.6451612903226,75,18,93,36,36,0
150,400,0.005,37,1,80.6451612903226,75,18,93,36,36,0
150,400,0.01,37,1,80.6451612903226,75,18,93,36,36,0
150,400,0.05,37,2,87.6712328767123,64,9,73,33,36,0
150,400,0.1,37,4,88.135593220339,52,7,59,28,36,0
150,400,0.15,37,6,88.6792452830189,47,6,53,25,36,0
150,400,0.2,37,8,89.7959183673469,44,5,49,23,36,0
200,200,0.001,37,1,79.7752808988764,71,18,89,36,36,0
200,200,0.005,37,1,79.7752808988764,71,18,89,36,36,0
200,200,0.01,37,1,79.7752808988764,71,18,89,36,36,0
200,200,0.05,37,2,87.5,63,9,72,33,36,0
200,200,0.1,37,4,88.135593220339,52,7,59,28,36,0
200,200,0.15,37,6,88.6792452830189,47,6,53,25,36,0
200,200,0.2,37,8,89.7959183673469,44,5,49,23,36,0
200,250,0.001,37,1,79.7752808988764,71,18,89,36,36,0
200,250,0.005,37,1,79.7752808988764,71,18,89,36,36,0
200,250,0.01,37,1,79.7752808988764,71,18,89,36,36,0
200,250,0.05,37,2,87.5,63,9,72,33,36,0
200,250,0.1,37,4,88.135593220339,52,7,59,28,36,0
200,250,0.15,37,6,88.6792452830189,47,6,53,25,36,0
200,250,0.2,37,8,89.7959183673469,44,5,49,23,36,0
200,300,0.001,37,1,79.7752808988764,71,18,89,36,36,0
