"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","S5_PPV","S5_TP","S5_FP","S5_Total_ASVs","S5_Unique_taxa","S5_Taxa_with_no_species_before_filtering","S5_Taxa_with_no_species_after_filtering"
550,350,0.01,36,1,87.3015873015873,55,8,63,29,36,0
550,350,0.05,36,2,90,54,6,60,29,36,0
550,350,0.1,36,4,92.3076923076923,48,4,52,25,36,0
550,350,0.15,36,6,91.6666666666667,44,4,48,22,36,0
550,350,0.2,36,8,95.5555555555556,43,2,45,20,36,0
550,400,0.001,36,1,87.3015873015873,55,8,63,29,36,0
550,400,0.005,36,1,87.3015873015873,55,8,63,29,36,0
550,400,0.01,36,1,87.3015873015873,55,8,63,29,36,0
550,400,0.05,36,2,90,54,6,60,29,36,0
550,400,0.1,36,4,92.3076923076923,48,4,52,25,36,0
550,400,0.15,36,6,91.6666666666667,44,4,48,22,36,0
550,400,0.2,36,8,95.5555555555556,43,2,45,20,36,0
600,200,0.001,36,1,87.3015873015873,55,8,63,29,36,0
600,200,0.005,36,1,87.3015873015873,55,8,63,29,36,0
600,200,0.01,36,1,87.3015873015873,55,8,63,29,36,0
600,200,0.05,36,2,90,54,6,60,29,36,0
600,200,0.1,36,4,92.3076923076923,48,4,52,25,36,0
600,200,0.15,36,6,91.6666666666667,44,4,48,22,36,0
600,200,0.2,36,8,95.5555555555556,43,2,45,20,36,0
600,250,0.001,36,1,87.3015873015873,55,8,63,29,36,0
600,250,0.005,36,1,87.3015873015873,55,8,63,29,36,0
600,250,0.01,36,1,87.3015873015873,55,8,63,29,36,0
600,250,0.05,36,2,90,54,6,60,29,36,0
600,250,0.1,36,4,92.3076923076923,48,4,52,25,36,0
600,250,0.15,36,6,91.6666666666667,44,4,48,22,36,0
600,250,0.2,36,8,95.5555555555556,43,2,45,20,36,0
600,300,0.001,36,1,87.3015873015873,55,8,63,29,36,0
600,300,0.005,36,1,87.3015873015873,55,8,63,29,36,0
600,300,0.01,36,1,87.3015873015873,55,8,63,29,36,0
600,300,0.05,36,2,90,54,6,60,29,36,0
600,300,0.1,36,4,92.3076923076923,48,4,52,25,36,0
600,300,0.15,36,6,91.6666666666667,44,4,48,22,36,0
600,300,0.2,36,8,95.5555555555556,43,2,45,20,36,0
600,350,0.001,36,1,87.3015873015873,55,8,63,29,36,0
600,350,0.005,36,1,87.3015873015873,55,8,63,29,36,0
600,350,0.01,36,1,87.3015873015873,55,8,63,29,36,0
600,350,0.05,36,2,90,54,6,60,29,36,0
600,350,0.1,36,4,92.3076923076923,48,4,52,25,36,0
600,350,0.15,36,6,91.6666666666667,44,4,48,22,36,0
600,350,0.2,36,8,95.5555555555556,43,2,45,20,36,0
600,400,0.001,36,1,87.3015873015873,55,8,63,29,36,0
600,400,0.005,36,1,87.3015873015873,55,8,63,29,36,0
600,400,0.01,36,1,87.3015873015873,55,8,63,29,36,0
600,400,0.05,36,2,90,54,6,60,29,36,0
600,400,0.1,36,4,92.3076923076923,48,4,52,25,36,0
600,400,0.15,36,6,91.6666666666667,44,4,48,22,36,0
600,400,0.2,36,8,95.5555555555556,43,2,45,20,36,0
